file,Energy_mean,Energy_std,ZCR_mean,ZCR_std,Spectral_centroid_mean,Spectral_centroid_std,Spectral_flux_mean,F0_mean,F0_std,F0_range,Voiced_ratio,MFCC_C0_mean,MFCC_C0_std,MFCC_C1_mean,MFCC_C1_std,MFCC_C2_mean,MFCC_C2_std,MFCC_C3_mean,MFCC_C3_std,MFCC_C4_mean,MFCC_C4_std,MFCC_C5_mean,MFCC_C5_std,MFCC_C6_mean,MFCC_C6_std,MFCC_C7_mean,MFCC_C7_std,MFCC_C8_mean,MFCC_C8_std,MFCC_C9_mean,MFCC_C9_std,MFCC_C10_mean,MFCC_C10_std,MFCC_C11_mean,MFCC_C11_std,MFCC_C12_mean,MFCC_C12_std,Delta_MFCC_C0_mean,Delta_MFCC_C0_std,Delta_MFCC_C1_mean,Delta_MFCC_C1_std,Delta_MFCC_C2_mean,Delta_MFCC_C2_std,Delta_MFCC_C3_mean,Delta_MFCC_C3_std,Delta_MFCC_C4_mean,Delta_MFCC_C4_std,Delta_MFCC_C5_mean,Delta_MFCC_C5_std
03-01-02-01-01-01-01.wav,0.0016532314,0.0024402607,0.3569846558415033,0.27607235281551673,3226.498012489638,1626.0663129435582,0.15717037,99.00845051064734,28.72675661053047,95.64303522886914,0.6601307189542484,-727.1044,182.82188,62.355034,68.40422,3.1211812,22.141094,15.064671,20.880312,8.132434,18.506634,1.927084,12.202988,-3.2746563,12.599708,-3.7617917,10.263984,-9.7502985,13.529635,-4.853837,9.228117,0.9963155,11.612596,-3.1160698,8.898349,0.5463207,7.9584594,-0.06757449,14.611136,-0.09434404,7.7795196,-0.09106576,4.745848,-0.08656411,3.2989202,-0.08150218,3.8274457,-0.075971626,2.3236346
03-01-02-01-01-01-01_aug0.wav,0.0016570259,0.0024383566,0.219656352124183,0.16070758907668833,3645.5220447659167,1990.9966577192888,0.17966022,107.53506337221022,26.275164861721418,95.64303522886914,0.5228758169934641,-723.5532,175.28159,68.49682,66.83095,6.152165,24.755463,20.752964,22.103508,9.6334,18.900465,6.998911,11.953132,-2.8034375,17.05649,0.73512536,9.047174,-10.128958,17.979836,-0.90308475,8.55043,-0.1541812,12.04129,0.15396877,8.32572,-1.0155661,8.947102,-0.030551486,13.943032,-0.026765114,7.543431,-0.028773215,4.7391396,-0.012261513,3.4286494,-0.01090071,3.9664927,-0.008812337,2.331267
03-01-02-01-01-01-01_aug1.wav,0.005616401,0.00131657,0.45114634395424835,0.08158128098651626,5327.897290053726,324.08529081480157,0.291882,91.28133323523429,21.871101101567746,70.01949414279113,0.4117647058823529,-311.24036,11.473463,4.0579643,11.599653,4.652156,6.9557986,3.1207957,6.3454037,2.4051106,5.8442254,1.2669206,3.7663708,-0.1262757,3.751933,-1.8782802,4.4124084,-2.2649899,4.3531437,-1.5656455,3.5828428,-0.66644377,4.0401692,-0.330843,4.243311,-0.60626715,4.014214,0.074727304,1.844259,0.04155948,1.8492435,0.04070737,0.94366163,0.021989658,1.0430676,-0.016417814,1.138927,0.009749336,0.70116395
03-01-02-01-01-01-01_aug2.wav,0.0011044053,0.0015423672,0.1989349844568063,0.13686875161939902,3172.783626995281,1530.156497618289,0.1849538,101.76903871517221,29.612882512934323,90.15710053589078,0.6282722513089005,-734.9122,159.00127,69.09649,62.818672,2.5495424,22.290897,22.536976,21.447205,6.062802,17.705399,9.012142,11.456931,-4.6728015,16.446623,1.9864182,10.630259,-11.446106,17.03055,0.12785658,8.876811,-0.24776271,10.887941,1.408639,7.979105,-0.9371882,9.619089,0.11529142,11.224905,-0.05324207,6.9302645,-0.08032009,4.29323,-0.018063148,3.18326,-0.0062669883,3.3688116,0.020161314,2.0630572
03-01-02-01-01-01-01_aug3.wav,0.0011314541,0.0016850707,0.22658164828431374,0.14571645078318313,3343.0203962368414,1558.1302004921174,0.18328957,112.94014227723524,36.3642992394305,107.2021102121355,0.5947712418300654,-727.05444,161.8522,64.98222,59.839764,5.820624,23.403975,20.441315,21.242619,6.0187287,17.712805,2.3426032,12.651923,-6.0914683,16.25469,-4.9589133,10.880162,-10.256559,15.385127,2.9365656,8.384767,-0.6664522,9.855976,0.062749974,8.397563,-1.1352539,5.859165,0.101509646,12.560169,-0.056070663,6.9696646,-0.066564895,4.688235,-0.028770054,3.7510114,-0.021018159,3.6255581,-0.022206862,2.4042587
03-01-02-01-01-01-02.wav,0.003299657,0.0045774826,0.3289691971009036,0.26714946955179536,3181.5938778969107,1690.2154290215844,0.17299242,204.4820109817662,66.3530230148421,250.14286572272175,0.5481927710843374,-663.2903,172.2696,52.128677,58.084213,-3.5836399,33.70628,11.846415,21.76966,-4.697628,17.650232,-1.7755145,13.358722,-3.4381075,14.308965,-7.5618978,12.997147,-3.0021994,11.663869,-2.1637714,9.822342,-3.2218263,8.645324,-4.2773857,8.987394,-4.5514054,9.527666,0.045069132,13.7297735,0.06138243,8.133499,0.054599117,7.073203,0.044302933,4.1103454,0.032059323,3.0500197,0.019815907,2.5130775
03-01-02-01-01-01-02_aug0.wav,0.003300101,0.00457778,0.25016766283885544,0.19599711991335256,3389.5367026962276,1923.4786361783622,0.17530592,210.42593611311324,63.293411442991584,250.9480424810631,0.5180722891566265,-664.4974,168.9242,56.61573,57.986504,-5.8176312,34.615547,16.101248,23.23391,-7.074422,20.214712,2.2437952,12.065673,-5.7407646,16.993496,-3.8565607,11.503691,-5.179887,14.393564,1.0780371,8.7585125,-5.1564846,10.267392,-1.4936028,8.164398,-6.1720715,10.964563,0.06290059,13.538671,0.08586415,7.7898483,0.07957224,6.779969,0.067603536,4.3330936,0.054217696,3.0750022,0.039140444,2.4796894
03-01-02-01-01-01-02_aug1.wav,0.0068326844,0.0031839765,0.4252194324171687,0.10678957531828275,5207.653385748163,497.9422653100953,0.29228473,171.20413560527666,86.68657693348953,254.8373089001315,0.6144578313253012,-307.7729,15.925708,4.5875945,13.07681,2.1971135,7.989925,0.123206176,8.688353,-1.2546489,4.2505255,-1.229445,4.4004207,-1.767319,5.249993,-2.2341092,4.398845,-1.5918748,4.822798,-1.0302888,3.7532086,-0.99203986,4.536459,-1.61018,4.534435,-1.3472975,3.8560486,0.0064641195,2.726583,-0.010138787,2.137594,0.020333456,1.4403963,-0.014413759,1.7972832,-0.02930223,0.880926,-0.020980487,0.8902485
03-01-02-01-01-01-02_aug2.wav,0.0021505342,0.0030617174,0.19748971542874397,0.14282033680513662,3179.3879695165106,1600.4547005349266,0.14578816,231.8002144093004,38.58200646761122,146.78488251394094,0.42995169082125606,-688.75226,165.42567,55.3451,55.59503,-6.6329827,35.501617,15.437031,23.60495,-8.054721,20.010098,1.6123868,11.871554,-7.410666,17.499598,-5.016828,11.663056,-6.4602666,14.7314205,0.7776135,8.837836,-5.5097523,10.393773,-1.5114218,7.851835,-5.6681423,10.626549,0.08010009,11.391729,0.095138475,7.1969576,0.067706786,6.514554,0.04836258,4.089708,0.030259635,2.6749341,0.01675163,2.3940363
03-01-02-01-01-01-02_aug3.wav,0.0023443624,0.0031789537,0.21210525696536145,0.15060293568094144,3421.843250982547,1642.6817767107198,0.16405998,491.5109378569174,581.2331655934275,1829.078510285487,0.5240963855421686,-686.5473,173.1356,50.041203,50.773987,-3.8504899,36.79742,11.295072,21.217737,-7.6459713,20.373125,-0.68098193,13.722441,-8.185789,16.791103,-5.9050198,11.627621,-2.6424153,12.194462,-2.0584834,10.195837,-4.173037,9.3627825,-3.2377753,9.987878,0.07572045,7.673204,0.102214396,13.156307,0.11965207,7.289765,0.09116954,7.479439,0.056294195,4.341332,0.03415826,3.105195,-0.0007147272,2.2123375
03-01-02-01-01-01-03.wav,0.002763567,0.0033977807,0.18021107868975902,0.16084108217623969,2798.316118604572,1589.1903616405273,0.18838555,106.81922258355868,21.478199482825826,85.72850989524014,0.6506024096385542,-635.1229,183.43507,63.97642,56.622097,6.700347,24.183163,11.79303,23.863115,7.1260524,19.798277,0.12350427,12.905721,-11.55465,15.891804,-3.8118794,10.845987,-1.6332909,7.676648,-6.4070325,15.5776205,3.966948,10.5581875,-5.095542,10.210422,-2.7082245,8.408848,0.1640294,14.774266,0.19223416,7.7730975,0.1167691,4.6648192,0.07454372,4.5233817,0.066429675,4.255282,0.058506668,2.5226007
